iter	Passed	Remaining
787	1575	423
788	1577	421
789	1579	419
790	1580	417
791	1582	415
792	1584	413
793	1585	411
794	1587	409
795	1588	407
796	1590	405
797	1592	403
798	1593	400
799	1595	398
800	1596	396
801	1598	394
802	1599	392
803	1601	390
804	1602	388
805	1604	386
806	1606	384
807	1607	382
808	1630	385
809	1635	383
810	1638	381
811	1641	379
812	1643	378
813	1645	375
814	1646	373
815	1648	371
816	1650	369
817	1651	367
818	1653	365
819	1656	363
820	1658	361
821	1660	359
822	1662	357
823	1664	355
824	1666	353
825	1669	351
826	1670	349
827	1672	347
828	1673	345
829	1675	343
830	1676	340
831	1678	338
832	1680	336
833	1681	334
834	1683	332
835	1684	330
836	1686	328
837	1687	326
838	1689	324
839	1690	321
840	1692	319
841	1693	317
842	1695	315
843	1696	313
844	1698	311
845	1699	309
846	1701	307
847	1702	305
848	1704	303
849	1706	301
850	1707	299
851	1709	296
852	1711	294
853	1712	292
854	1714	290
855	1715	288
856	1717	286
857	1718	284
858	1720	282
859	1722	280
860	1723	278
861	1725	276
862	1727	274
863	1728	272
864	1730	270
865	1732	268
866	1734	266
867	1735	263
868	1737	261
869	1738	259
870	1740	257
871	1741	255
872	1742	253
873	1745	251
874	1746	249
875	1748	247
876	1749	245
877	1751	243
878	1752	241
879	1754	239
880	1755	237
881	1757	235
882	1759	233
883	1760	231
884	1762	229
885	1764	226
886	1765	224
887	1766	222
888	1768	220
889	1770	218
890	1772	216
891	1773	214
892	1775	212
893	1777	210
894	1778	208
895	1780	206
896	1781	204
897	1783	202
898	1785	200
899	1786	198
900	1788	196
901	1790	194
902	1791	192
903	1793	190
904	1794	188
905	1796	186
906	1798	184
907	1799	182
908	1801	180
909	1802	178
910	1804	176
911	1806	174
912	1807	172
913	1808	170
914	1810	168
915	1812	166
916	1813	164
917	1815	162
918	1817	160
919	1818	158
920	1819	156
921	1821	154
922	1823	152
923	1824	150
924	1826	148
925	1827	146
926	1829	144
927	1830	142
928	1832	140
929	1833	138
930	1836	136
931	1837	134
932	1839	132
933	1840	130
934	1842	128
935	1843	126
936	1845	124
937	1846	122
938	1848	120
939	1850	118
940	1852	116
941	1853	114
942	1855	112
943	1856	110
944	1858	108
945	1860	106
946	1863	104
947	1864	102
948	1866	100
949	1868	98
950	1869	96
951	1870	94
952	1872	92
953	1874	90
954	1876	88
955	1877	86
956	1879	84
957	1880	82
958	1882	80
959	1883	78
960	1885	76
961	1886	74
962	1888	72
963	1890	70
964	1891	68
965	1893	66
966	1894	64
967	1896	62
968	1897	60
969	1899	58
970	1902	56
971	1904	54
972	1905	52
973	1907	50
974	1908	48
975	1910	46
976	1911	45
977	1913	43
978	1915	41
979	1916	39
980	1918	37
981	1920	35
982	1921	33
983	1923	31
984	1924	29
985	1926	27
986	1927	25
987	1929	23
988	1931	21
989	1932	19
990	1934	17
991	1935	15
992	1937	13
993	1938	11
994	1941	9
995	1942	7
996	1944	5
997	1946	3
998	1947	1
999	1948	0
